Date / Time,Seconds taken,Kbps,Download size (bytes)
2016-03-16 10:11:16.625091,7.664673,3121.0,3062059
2016-03-16 10:11:51.440704,1.290649,18535.0,3062059
2016-03-16 10:12:09.500139,2.040696,11723.0,3062059
2016-03-16 10:18:33.977065,0.938323,25495.0,3062059
2016-03-16 10:29:30.820732,3.705888,6455.0,3062059
2016-03-16 10:40:45.995463,3.76367,6356.0,3062059
2016-03-16 10:41:00.850096,4.511433,5303.0,3062059
2016-03-16 10:42:00.871302,6.561585,3646.0,3062059
2016-03-16 10:44:01.097425,3.504067,6827.0,3062059
2016-03-16 10:50:00.206305,2.183218,10957.0,3062059
2016-03-16 10:55:00.834659,2.599051,9204.0,3062059
2016-03-16 11:00:01.060930,1.314394,18200.0,3062059
2016-03-16 11:05:01.025143,2.601693,9195.0,3062059
2016-03-16 11:10:00.258646,6.150538,3889.0,3062059
2016-03-16 11:15:00.796526,1.137011,21040.0,3062059
2016-03-16 11:20:00.258777,2.83001,8453.0,3062059
2016-03-16 11:35:01.390859,1.495737,15994.0,3062059
2016-03-16 11:40:01.323718,1.572619,15212.0,3062059
2016-03-16 11:45:01.353502,1.608124,14876.0,3062059
2016-03-16 11:50:00.650100,1.706046,14022.0,3062059
2016-03-16 11:55:00.816835,1.176864,20327.0,3062059
2016-03-16 12:00:00.515876,6.385652,3746.0,3062059
2016-03-16 12:05:00.394699,1.234608,19376.0,3062059
2016-03-16 12:10:01.282866,3.051979,7838.0,3062059
2016-03-16 12:15:00.905815,1.800978,13283.0,3062059
2016-03-16 12:20:00.689061,3.086758,7750.0,3062059
2016-03-16 12:25:01.440164,1.702933,14048.0,3062059
2016-03-16 12:30:00.978562,3.784958,6320.0,3062059
2016-03-16 12:35:01.068372,1.722766,13886.0,3062059
2016-03-16 12:40:01.457311,9.707199,2464.0,3062059
2016-03-16 12:45:01.143439,2.023475,11822.0,3062059
2016-03-16 12:50:00.734543,4.701231,5089.0,3062059
2016-03-16 12:55:00.743960,4.818382,4965.0,3062059
2016-03-16 13:00:00.328255,3.228994,7409.0,3062059
2016-03-16 13:05:00.502636,6.396116,3740.0,3062059
2016-03-16 13:10:01.200701,3.242616,7377.0,3062059
2016-03-16 13:15:00.338259,2.777657,8612.0,3062059
2016-03-16 13:20:00.371560,5.707771,4191.0,3062059
2016-03-16 13:25:00.578795,2.145282,11151.0,3062059
2016-03-16 13:30:00.453773,1.702059,14055.0,3062059
2016-03-16 13:35:00.657352,1.33093,17974.0,3062059
